CaseID,ContractorName,ContractAmount,Status,SubmittedDate,ReviewedBy,ProgramOffice
C-2401-001,Northgate Defense Systems LLC,125000.00,Approved,2024-01-15,CPT Martinez,G4
C-2401-002,Meridian Logistics Group Inc,275000.00,Approved,2024-01-18,MAJ Williams,G8
C-2401-003,Sentinel Technical Services LLC,89500.00,Approved,2024-01-20,CPT Martinez,G4
C-2401-004,Ironridge Maintenance Corp,520000.00,Approved,2024-01-22,LTC Brown,G6
C-2401-005,Cascade Sustainment Solutions Inc,112000.00,Cancelled,2024-01-25,R. Davis,G8
C-2401-006,Broadview Infrastructure Group,330000.00,Approved,2024-01-28,CPT Martinez,G4
C-2401-009,Titan Logistics and Supply Inc,880000.00,Approved,2024-02-08,CPT Martinez,G4
C-2401-010,Vanguard Defense Solutions Inc,55000.00,Approved,2024-02-10,LTC Brown,G6
C-2401-011,Keystone Systems and Technology LLC,142000.00,Pending,2024-02-12,MAJ Williams,G8
C-2401-012,Summit Contracting Services Corp,228000.00,Approved,2024-02-14,R. Davis,G4
